frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
1,178.5264945,175.9354191,179.88569,179.88569
2,177.7845956,176.2947544,179.4840336,179.4840336
3,177.0374191,176.2958797,179.855181,179.855181
4,177.3573416,175.4906074,179.1442426,179.1442426
5,176.9711984,175.0892854,179.1442426,179.1442426
6,177.387139,175.1146332,179.0762739,179.0762739
7,177.7204101,174.1750984,179.431337,179.431337
8,177.7238327,173.7892472,179.3911036,179.3911036
9,177.3519755,172.8473313,179.7263242,179.7263242
10,177.7050654,172.8664946,179.2520558,179.2520558
11,177.3331142,172.8664946,177.9212749,177.9212749
12,177.7065567,172.6906203,177.6296468,177.6296468
13,178.4546166,173.1513982,178.0043477,178.0043477
14,177.7264719,173.6109419,177.6345949,177.6345949
15,177.3544881,174.0286601,177.6309582,177.6309582
16,177.3741436,175.0143919,177.6470177,177.6470177
17,177.006868,175.7839076,177.6434616,177.6434616
18,177.006868,176.6611252,177.006868,177.006868
19,176.6636422,176.2890799,176.7114601,176.7114601
20,177.0370917,176.758383,176.4530874,176.4530874
21,177.041568,176.3098131,174.894298,174.894298
22,177.072665,177.4118527,175.2638443,175.2638443
23,177.0934287,176.7379665,174.9974392,174.9974392
24,177.0770858,178.6537334,174.704448,174.704448
25,177.430759,178.5626794,173.7978082,173.7978082
26,177.7974018,178.582592,172.9838509,172.9838509
27,178.5135854,178.582592,173.0513755,173.0513755
28,178.9125739,178.582592,173.175199,173.175199
29,178.921577,178.4994462,172.9455032,172.9455032
30,178.5855768,178.9176514,172.7295632,172.7295632
31,179.3014653,179.7148741,173.1486269,173.1486269
32,179.9825344,179.8074645,173.2471137,173.2471137
33,179.6528894,179.8950353,172.9568278,172.9568278
34,179.9956336,179.812437,173.3399076,173.3399076
35,179.6569156,179.902608,173.0967192,173.0967192
36,179.3138558,179.8380023,172.5048056,172.5048056
37,179.3179396,179.7546865,172.5422834,172.5422834
38,179.3219751,179.7136469,172.5463189,172.5463189
39,179.3299045,179.6471048,172.376947,172.376947
40,178.9626289,179.2394812,172.4103712,172.4103712
41,178.6263763,179.9361251,171.8299225,171.8299225
42,178.2940188,179.1531496,170.7149247,170.7149247
43,178.6521127,178.9778281,170.2940443,170.2940443
44,178.6360725,178.5775693,170.052451,170.052451
45,178.2747451,178.5713837,169.4679524,169.4679524
46,178.6571151,177.7746727,169.4373914,169.4373914
47,177.5579241,177.7197225,169.1231767,169.1231767
48,177.565033,177.3819267,169.1231767,169.1231767
49,177.5398111,177.4136599,169.1786117,169.1786117
50,176.5106751,178.3518074,166.6562206,166.6562206
51,175.7410315,177.9055149,166.0464457,166.0464457
52,176.1392674,178.2866767,165.8578739,165.8578739
53,176.0424469,178.6010372,165.8995832,165.8995832
54,175.6839725,178.9251584,165.286639,165.286639
55,174.8845955,179.15829,164.8692281,164.8692281
56,174.8569216,178.713294,164.4886322,164.4886322
57,174.9092575,178.4542456,165.0149919,165.0149919
58,175.2363583,178.505739,164.9079527,164.9079527
59,175.2363583,178.101944,165.2131767,165.2131767
60,176.0270839,178.1380815,165.8646451,165.8646451
61,176.7156706,178.5954245,166.1941673,166.1941673
62,177.0562202,178.5015997,166.5402807,166.5402807
63,176.2586917,179.0045793,165.791748,165.791748
64,175.0467425,177.6942516,165.0235609,165.0235609
65,174.2010146,177.3465499,164.8983049,164.8983049
66,174.5766616,176.9072279,164.8180632,164.8180632
67,174.1448866,175.06227,164.8308126,164.8308126
68,173.332635,173.5178687,164.7369399,164.7369399
69,172.1056363,173.75091,163.9896767,163.9896767
70,170.90317,175.2874386,163.0227328,163.0227328
71,171.2521433,174.6779507,163.3717061,163.3717061
72,170.8057942,175.8614467,162.6372974,162.6372974
73,169.9375973,176.791281,162.2519019,162.2519019
74,169.0875209,178.5150004,161.7546906,161.7546906
75,168.5932005,179.4656892,160.932095,160.932095
76,168.8981987,178.8298176,161.5080152,161.5080152
77,168.403817,179.9656843,160.3852663,160.3852663
78,167.87303,179.6114312,159.5821797,159.5821797
79,167.8697119,179.5792343,159.4624791,159.4624791
80,166.8749004,178.7092191,157.8813934,157.8813934
81,165.9022144,178.2218073,157.2515797,157.2515797
82,164.3166097,177.7803444,156.2629376,156.2629376
83,162.9976516,176.8363251,155.3250646,155.3250646
84,162.4846476,174.5146739,154.8261191,154.8261191
85,161.9765778,174.115829,154.6681507,154.6681507
86,161.4967705,167.8044748,154.1008934,154.1008934
87,161.7153893,168.8550487,153.4205625,153.4205625
88,161.4493728,170.5310555,153.1797541,153.1797541
89,162.9873025,171.7347611,153.283373,153.283373
90,163.2107981,175.6183738,152.289186,152.289186
91,161.9327982,178.6267584,149.2758123,149.2758123
92,161.6458983,178.9719274,148.4097098,148.4097098
93,161.6232589,177.4963103,146.7839013,146.7839013
94,161.9061715,174.6633429,146.2276419,146.2276419
95,162.5252257,176.1317679,146.2999504,146.2999504
96,164.372836,176.2941133,146.2999504,146.2999504
97,165.7304417,177.4852474,146.0208644,146.0208644
98,165.5369652,179.366205,144.7473909,144.7473909
99,164.3898415,178.2617887,142.9527014,142.9527014
100,165.656263,174.3829094,142.7053979,142.7053979
101,166.4234456,174.1789604,142.5345231,142.5345231
102,166.274357,175.2209133,141.3156214,141.3156214
103,167.2046459,172.8521293,141.249409,141.249409
104,167.6965275,170.9268986,139.8695777,139.8695777
105,168.3694376,170.6558779,139.6081508,139.6081508
106,167.186794,166.2832621,137.319262,137.319262
107,165.2447782,167.1952883,136.0665678,136.0665678
108,164.9375554,172.053698,134.9667851,134.9667851
109,165.2148347,169.4775068,133.3294267,133.3294267
110,164.0054575,169.4165457,132.1129907,132.1129907
111,162.5590805,164.141524,130.2429928,130.2429928
112,160.1438388,166.7315921,127.5513897,127.5513897
113,158.8552087,170.5826065,125.8162612,125.8162612
114,157.5577841,168.0936097,123.9178095,123.9178095
115,157.3704722,170.0059,122.9657335,122.9657335
116,160.5890172,170.5644557,125.1705812,125.1705812
117,162.1603106,173.8797341,125.3965713,125.3965713
