frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
1,165.381589,153.8263742,169.0507917,148.1589915
2,164.8370636,154.2487507,169.1308824,148.7793343
3,165.0957051,154.0415971,169.2068969,149.5017446
4,164.9157799,154.0415971,168.9104819,149.431514
5,165.0957051,153.963951,168.6227112,149.5017446
6,165.1805248,153.8536716,168.2500626,149.4610336
7,164.715989,153.4096923,168.7145984,149.4610336
8,165.6175627,153.2979285,167.7591084,149.3492698
9,165.7916977,152.945217,167.7591084,149.0092035
10,167.0628997,152.945217,166.4257634,148.9389729
11,167.0628997,153.3542526,166.4257634,149.7044216
12,167.4874142,153.0005981,166.6255595,149.0917855
13,168.6250932,153.0005981,165.8599697,149.3659125
14,169.4643965,153.5644497,166.1537916,149.1298672
15,170.3003681,153.1904928,166.259093,148.4812443
16,171.9999889,153.6772962,164.5005241,148.9379503
17,172.343218,154.6161812,164.497432,149.4874331
18,175.2615846,154.2774731,162.3723474,149.5674576
19,176.5689381,154.7745696,162.2922001,149.8098237
20,179.256982,155.3153015,160.8676167,149.4715999
21,179.7454982,156.1480461,161.1659324,149.836825
22,177.7784329,156.0936717,160.3590024,149.8458766
23,176.9225446,157.0201683,160.3590024,150.2334171
24,174.917291,156.7000438,159.19178,150.3913829
25,174.5375355,157.5282982,159.19178,150.746195
26,171.3361919,157.2327372,158.1598525,151.0185046
27,170.999516,158.2218407,159.2641433,151.0504455
28,167.9769082,158.6940473,158.938484,151.9837989
29,166.5635163,158.3404614,158.7125972,151.6911042
30,165.8303794,158.1367864,158.5462988,151.3804123
31,165.2692202,158.1821692,158.7215833,151.5994253
32,164.5281402,159.1437176,158.5112998,152.1621915
33,163.5567674,158.7945971,157.9731057,152.095314
34,163.0442292,159.2203303,157.2951581,152.5944901
35,162.3107629,159.1861511,157.2951581,152.6472793
36,162.1702658,159.2203303,157.1980798,153.2012727
37,162.1702658,159.5794425,157.4694109,153.3745103
38,161.4434898,160.8591261,156.5674522,154.3735884
39,161.4434898,161.1338658,156.5674522,154.4411735
40,161.5186014,163.1271627,155.5527683,155.1827055
41,161.8847545,164.7701125,155.9979772,155.480181
42,162.6125301,165.3559581,156.1150458,154.8405947
43,163.4540841,166.2933344,156.5920163,154.5649862
44,164.2096279,168.387766,157.716304,154.972214
45,164.4446209,169.822132,157.9670321,154.693994
46,164.3421906,172.4003157,158.2982125,156.2309627
47,164.4606517,173.9105571,158.1399299,157.3069167
48,164.4606517,175.1145821,158.1956967,157.6815241
49,165.4340328,175.7744679,158.7749732,158.0553158
50,164.7067209,179.5250459,158.4281013,160.1476277
51,164.5912622,178.5809684,158.3126426,160.4902138
52,164.3292219,170.7801826,157.2543436,164.0555833
53,164.215268,168.8245306,157.320387,164.4510914
54,163.4848363,164.9822189,156.9200341,165.563213
55,163.4848363,163.8235825,157.1416801,165.3396747
56,162.8976172,160.1965231,156.5943045,166.3771193
57,162.5351647,157.6673131,156.5249827,167.3845475
58,162.8976172,152.5530864,155.6822663,169.1361458
59,162.7693924,151.7455708,155.3192871,169.6948441
60,162.0621578,150.0734262,154.4236675,170.0282612
61,162.2929618,149.0719195,154.3320608,170.3658212
62,163.0088622,146.3833553,154.1164284,171.0678406
63,163.3662117,144.9703853,154.4400348,171.4539249
64,163.3776039,141.3980972,153.934497,173.0786682
65,163.7397953,141.752164,153.934497,172.9980532
66,163.6196785,140.6655326,153.5823888,173.6256967
67,163.6196785,140.6686009,153.850291,173.8854623
68,163.9805324,138.5544145,153.9432427,175.21047
69,163.9805324,138.5364421,153.9432427,175.7671438
70,163.9805324,138.1793711,153.6373097,176.1087211
71,164.3425501,137.484781,153.5985719,176.7424844
72,164.7049041,137.1136121,153.960926,177.3837653
73,164.7049041,137.440971,153.960926,177.934631
74,164.7210405,135.7117122,153.960926,179.5650768
75,164.7210405,136.6657268,153.8823453,179.6091329
76,164.3750293,137.5975699,153.1651819,177.8564711
77,164.3915827,136.9305874,153.1651819,176.9434196
78,164.5264549,137.5571647,153.2832863,176.2962504
79,164.5264549,138.1931744,153.2413688,175.92622
80,164.1676134,139.991488,151.4600148,175.0065926
81,163.4388763,141.0641047,151.003728,174.7130901
82,162.93321,142.2499692,150.2748435,174.0479709
83,162.4307607,143.0353664,149.8190701,173.9632468
84,162.1873059,140.8910529,149.8318947,171.8496911
85,161.0950785,140.4301089,149.1356275,171.4886552
86,159.6496179,141.199748,148.366594,169.8363849
87,158.9339716,141.8322507,148.2397474,169.1565333
88,156.304967,144.0428516,146.1957527,168.2777301
89,155.4655617,145.1415026,145.9313047,168.6469421
90,153.9210319,145.6429867,144.7474178,167.9627579
91,153.5761776,145.0481733,144.0548593,167.0296805
92,151.7008261,146.7820301,142.5896391,166.1942509
93,150.5314905,147.6294945,141.4673285,165.5964781
94,148.9861278,149.945166,140.2779486,165.0033861
95,147.6125383,150.2514796,139.6107577,164.6789325
96,146.6005879,150.1351283,138.9514125,163.9363451
97,145.7471362,150.4715358,138.4501352,163.6066254
98,144.7057699,152.9751658,137.5148247,162.52956
99,143.7103217,153.8891938,136.5882349,161.6324701
100,142.9824094,155.5245651,135.7605188,161.24832
101,142.9396899,156.6432383,135.4800031,161.5910256
102,142.076063,157.3166658,135.0447192,161.3105258
103,142.5637008,157.9520076,135.104014,160.9878443
104,142.3725195,158.8434889,134.2043702,160.9444713
105,142.4152389,158.5415959,134.0518649,159.993809
106,142.3725195,159.1841886,133.1224581,159.8145568
107,142.0153298,159.307671,132.5875005,159.7672624
108,141.1423829,159.470448,131.7857587,159.7373022
109,140.5397993,159.7663715,131.6753624,159.4086891
110,140.3408652,160.0326139,130.5390729,159.1300544
111,140.0891986,159.6343725,130.337875,158.8718484
112,139.4052696,159.8196634,129.1707227,158.7316002
113,139.4052696,160.1185955,128.4181623,157.9720165
114,139.4052696,160.420204,128.2191762,157.9183855
115,139.4052696,160.7554473,128.2191762,157.69291
116,139.3519368,161.421238,127.7583789,157.7713982
117,139.6760708,161.3668318,127.9801327,158.0719433
118,139.8001546,161.2561038,127.7195609,158.3790365
119,139.8937908,161.1871502,127.0354308,158.9501118
120,140.0213576,161.551293,127.729515,159.016062
121,140.0213576,160.7714127,127.6207329,158.5343744
122,139.7624491,160.589898,127.6337191,157.7701345
123,139.7624491,160.589898,127.4589502,157.7701345
124,139.1681792,159.3092648,126.8552895,156.28689
125,138.9587186,159.2342149,126.7517019,156.1425799
126,139.3299179,158.4498974,126.4758259,155.0076682
127,138.9444316,157.9401034,126.3557878,154.2160674
128,138.731397,157.8534331,125.7640402,154.3399442
129,138.2906057,157.35612,125.1616642,153.6276111
130,138.074008,156.5671897,124.6173361,153.1997392
131,137.7457701,155.7805428,123.7881083,152.7732607
132,137.5256223,154.9962446,123.4533095,152.0658265
133,137.5256223,154.9962446,123.3375413,152.0658265
134,137.3029394,154.6379311,123.2306265,152.2749342
135,138.0123901,154.5377404,123.4451778,152.2480251
136,137.9581841,155.3986778,123.4451778,152.6027939
137,138.1248965,156.2070213,123.2704965,153.3381927
138,137.9032505,155.6833576,123.1668676,152.7411121
139,137.294918,156.4730418,122.7834427,153.4584512
140,137.957315,156.429904,122.9994363,154.0623178
141,137.957315,156.8115199,122.8803184,153.8689995
142,137.8482661,159.6298972,123.0966341,155.8251425
143,137.8482661,160.3563655,122.9751798,156.5468125
144,138.1276868,161.9796942,123.1917614,157.6650995
145,138.0670564,161.9064821,123.0679056,157.9470727
146,137.5408283,163.4603672,122.8525329,158.7865921
147,137.6337779,163.2484813,123.4777249,158.7032624
148,136.8908672,163.0495181,123.5980667,159.529321
149,136.9604642,162.9490287,123.5980667,159.7736684
150,137.4115269,163.1339848,123.9524302,160.031393
151,137.3437213,163.0832099,123.8344131,160.0852184
152,138.671025,164.4846167,124.6769084,161.7744136
153,139.4974343,165.3649945,125.0215405,162.3271025
154,140.6937757,167.3937802,125.9278975,163.9099923
155,141.9632067,168.7630342,126.7160815,165.5387284
156,143.2404738,169.641088,127.9055771,166.3452666
157,143.7015664,170.0778065,128.2445607,166.3820501
158,146.5709099,171.8176477,130.0155194,167.6551596
159,147.5034945,172.2134292,130.4321065,167.6969813
160,150.8116837,172.6303753,131.9362392,168.7324591
161,151.307806,172.1829862,132.3443996,168.3749381
162,153.1972084,174.3556042,133.2733566,169.6516871
163,154.1667894,173.4917606,133.66749,168.9641715
164,155.5092559,174.3059849,134.7174478,169.4736786
165,155.9937579,173.8318092,134.4251976,168.9995029
166,158.0562713,176.0029571,135.5428324,169.9340463
167,159.5548792,176.4335983,136.434612,169.7004806
168,160.9354526,175.9900597,136.5179868,169.019412
