frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
,146.1971848,120.8577684,162.6126049,143.7110282
,141.1150314,120.6115381,160.4258853,143.2904886
,139.7816495,120.8355783,159.8265837,144.0748329
,139.6036377,120.381903,160.2556131,143.5344673
,140.5507272,120.8828055,161.0142219,143.9959676
,141.1110137,121.1428753,161.6762946,144.3359396
,141.7582964,120.4213192,162.8877974,145.0527186
,142.2949767,120.4213192,163.4556377,144.8527858
,143.3984224,120.5144304,164.5124941,145.4232276
,144.7137144,120.3021719,165.6678848,144.7731772
,146.0219585,120.1953315,166.9848272,144.7458078
,147.3150807,119.477309,167.676546,144.0744752
,147.950657,119.2943685,167.8043373,144.1457779
,148.6285916,119.4218641,168.305402,143.8203796
,149.7765048,119.6800536,169.5761777,144.9704344
,152.4271629,120.5710468,171.6393324,145.854319
,153.6889408,121.513031,173.3107769,145.9955436
,155.7221858,123.0370284,174.6797978,147.2330661
,156.0547814,123.644497,175.2205529,147.5725117
,156.214819,123.9081165,175.6577629,147.4601421
,156.7307484,124.1415549,175.9468621,147.2322812
,157.9782564,124.1415549,176.2656501,147.0736554
,159.0665131,124.3194315,177.2831241,147.1364453
,161.2253619,124.9274143,177.9516482,147.3800134
,161.6522562,124.9354318,178.2736545,147.8681479
,162.3116395,126.0916502,178.7574745,148.4605902
,162.9682982,125.3728606,179.0189676,148.8879867
,163.6125723,125.3771302,179.1874977,149.9899697
,165.504645,126.7264303,179.9618734,150.7695365
,166.7067993,127.4417966,179.3768296,151.2904719
,167.550106,128.9929861,178.1720318,152.9963328
,168.1915137,129.9143083,177.6864065,153.8120496
,169.724902,130.2189238,176.6743417,155.0367429
,171.2241677,131.1529452,175.1829894,155.9707642
,172.441086,132.6386253,173.9771967,157.7638239
,173.7118773,132.370486,173.0927176,158.0088701
,174.316551,133.3946174,172.846073,158.862126
,175.5878893,133.7497768,172.2585681,159.2172854
,176.8640764,133.4168372,171.449738,159.863541
,177.5083744,134.35409,171.4883803,161.3166606
,178.1751608,135.6231512,171.168348,164.0374983
,179.0986503,137.6761091,170.0637636,164.802581
,179.4548873,141.1143587,169.5263888,165.5161271
,179.4344576,142.1399926,169.501115,165.0746965
,179.1812482,144.2950379,169.2283803,165.5495563
,178.5660011,146.568519,169.2227609,166.6857202
,178.0492995,148.2089607,169.2533017,167.5115848
,177.5332189,149.2846734,168.8138826,168.0974845
,176.3322119,149.5884072,169.3404771,167.5386167
,175.1368852,150.1206442,170.154786,167.8164796
,175.1377705,151.1004493,169.689398,168.6129465
,174.5841911,152.0085116,170.3938186,169.3262881
,174.6867708,153.0415076,170.2645012,168.945642
,173.7980366,153.344301,170.3843914,169.8102943
,173.5515506,153.9174208,169.8887199,170.4886717
,173.8093564,155.3314007,169.5832891,171.4104471
,173.5253289,157.1954595,169.5585411,172.252228
,173.7563212,158.4740147,169.586655,172.3163237
,173.9767946,159.915074,169.5788677,172.3375757
,173.9124763,160.8888448,169.5452707,172.7979509
,173.9726531,161.6536072,169.5790021,173.1009726
,174.3132149,161.8325088,169.2846978,173.3697723
,174.6492235,162.8761344,169.2950916,174.426957
,174.6750582,163.3264633,169.3128321,174.8868886
