frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
1,172.8388865,166.580721,139.357511,171.4947397
2,170.9988773,166.2088027,137.9990869,170.4490304
3,168.73206,165.8946422,135.5579997,169.7744922
4,168.0583834,165.1729033,134.4165528,169.2721922
5,167.065671,166.0529096,133.1160655,169.3094124
6,166.9674873,165.3511632,132.769584,169.251657
7,166.9403424,164.5114986,132.8439523,168.4119923
8,168.3209939,164.9773076,133.8208074,168.4119923
9,168.7252364,164.7259155,134.4295207,169.1680515
10,167.9052429,164.3340739,133.9739879,169.5876144
11,167.6975266,164.7989382,134.7311196,169.9168513
12,166.8038063,163.9578631,134.2929324,169.5435989
13,165.728103,164.8621549,134.0751261,171.294111
14,166.5119506,165.7853653,135.0793713,172.5217993
15,166.6530869,166.7176049,136.0628472,173.7416991
16,167.5066478,167.4782337,136.8947665,174.1608792
17,168.7832931,167.3672257,138.3272645,174.9759247
18,169.3404853,166.9013577,138.906518,175.6133727
19,169.4789642,166.7338608,139.044997,175.5902443
20,166.9255347,166.262523,137.6292179,176.6019475
21,166.9255347,165.9849163,138.2571132,176.4560877
22,166.5507609,165.7473705,137.8823394,175.7615899
23,166.1779454,165.7315561,137.5095239,176.4105033
24,165.2362621,166.0852219,137.2994498,176.0799392
25,165.0791312,166.1008041,137.8888915,177.0694071
26,165.0209815,165.9724105,138.4223054,176.9597128
27,165.0209815,165.6921062,138.7384677,176.5614991
28,165.4337857,166.2045419,138.7384677,176.8501186
29,166.4744237,167.1311115,138.8506388,178.2068978
30,168.6174538,168.1681162,140.2636991,177.9124007
31,168.462494,168.0294796,140.5284241,178.5274369
32,169.2562584,168.0173676,141.2359816,178.8292807
33,168.8667059,168.5438462,140.6285241,179.1434067
34,169.4089979,168.7973928,141.7078277,179.7842064
35,170.2015191,168.7973928,142.5127054,179.7842064
36,170.4298634,168.9148622,143.301449,179.9099596
37,168.5038338,169.9741931,142.8610657,179.153531
38,166.9903197,169.4789441,142.1976994,178.8129912
39,166.5046146,170.5414935,142.8374211,177.7476168
40,166.5046146,171.624586,143.1587097,177.2741348
41,167.0357419,171.5217379,144.7052818,176.656392
42,165.8164669,173.3428542,145.1305506,175.4603179
43,165.5925992,173.3428542,145.5984307,174.8509492
44,166.501931,173.7779364,147.5958848,173.806774
45,166.0745518,174.5659046,147.5958848,172.8353639
46,166.3974885,174.471168,148.2922457,172.5457012
47,166.6270016,174.0110735,148.2150047,173.0057957
48,166.1974926,173.4607548,147.5182622,173.4596142
49,165.1992574,173.3991666,146.7738239,174.120741
50,164.7823931,171.4440996,145.3671401,176.1299576
51,164.0224128,171.0070413,144.0433842,176.8698093
52,163.8603308,169.6291329,143.5874146,178.0472282
53,164.3812084,169.7242408,143.299682,178.0391713
54,164.3812084,169.727605,143.4435528,178.043864
55,164.9892115,168.9828884,143.9696304,178.4925642
56,165.202723,168.0475705,144.1931888,178.9401784
57,165.1442042,168.4951847,144.3281803,178.1912607
58,166.3388648,166.8056343,144.6125118,178.344776
59,167.3910444,166.3325343,145.3356412,178.0436891
60,168.3569563,166.0755063,145.8384985,177.7680034
61,168.7865259,168.0510058,146.916485,175.7473837
62,169.9652101,168.5204436,147.5497339,175.2779459
63,167.827277,167.1316719,146.6955579,175.7298917
64,167.3606143,166.7897149,146.6955579,175.4278583
65,167.699979,167.3609602,146.3384668,176.02435
66,166.2443958,167.3474435,145.4632639,177.1075044
67,165.4864016,166.4140088,145.1095122,177.8900572
68,165.081378,167.4961566,145.2379093,176.9462528
69,163.7164097,169.0963159,146.0752553,175.6029534
70,164.3049655,169.2881228,146.6325265,175.1857052
71,162.8623562,170.4202039,146.4186869,174.2790654
72,162.6019346,168.7612499,146.8503513,174.4467358
73,162.9003024,167.4286565,146.759378,174.9178035
74,160.2522929,165.6588387,146.242819,174.1961673
75,160.1934809,165.2585634,146.8764103,173.8086569
76,160.9341642,166.3047988,147.1729254,172.5885071
77,157.8378663,168.2193662,146.5522413,170.8521876
78,157.20643,169.1391854,146.360125,170.4094908
79,157.5421912,170.3821637,146.7048429,169.1672417
80,157.7019194,170.3821637,146.8556144,169.1477644
81,149.8497609,164.1366108,151.4613851,162.6476678
82,147.1476075,161.5788607,152.3010578,162.2504243
83,142.3566469,155.8015544,151.12705,162.9006204
84,140.2488717,157.1610318,152.5242095,159.4826551
85,138.315258,156.5491056,153.1897263,158.8825005
86,134.9135811,157.8185485,153.4272509,156.2794156
87,133.3959304,160.1436456,152.9564743,153.748774
88,134.1693252,176.3354592,157.1822473,176.4681393
89,130.3653652,156.9325209,158.0265946,171.7650903
90,148.3052365,136.0314178,153.5236661,159.8947477
91,148.1538278,145.7452628,152.1083828,164.1090662
92,142.6908525,146.725112,157.0612451,165.0482142
93,145.0329168,143.9569062,156.7962097,167.1052191
94,144.6005842,143.7567713,152.9767769,168.531389
95,144.9554025,139.3529434,149.1519131,167.8282504
96,122.625602,105.0847973,170.9407492,178.2985837
97,116.2450829,104.2410464,167.7979476,179.1500802
98,148.0237026,130.8321799,149.7378709,176.5075558
99,143.2797212,133.3632563,152.5641963,177.2288347
100,149.7529527,132.6462574,149.2775241,179.4329612
101,154.8469995,138.7603874,146.4241598,177.0899072
102,158.8555441,139.4758194,145.4691743,176.7665623
103,158.3015929,142.5079968,149.5361825,173.677789
104,164.4882541,144.7684157,148.1427041,172.0099153
105,166.5575626,146.2505837,148.5381043,171.5133236
106,165.9957945,142.8709205,147.104819,170.3541701
107,159.927763,139.8154981,152.198103,172.9291384
108,161.2848023,140.2517372,152.7209874,171.5794703
109,166.9371378,139.8242721,151.9923835,172.5545078
110,160.5166986,138.203859,153.5911237,173.0824822
111,165.2835777,138.5247579,152.8706042,173.101448
112,167.4414283,136.9302711,152.0436363,172.9378001
113,151.2020701,138.485966,169.9951604,163.4014451
114,145.8722106,136.4648804,172.212623,165.0006039
115,135.8998597,133.0029488,177.6401441,163.7711746
116,140.086104,132.488505,173.6888899,165.1225677
117,147.6525565,130.2563113,170.6441241,171.6594499
118,149.3019838,130.4513283,169.8684912,172.4311419
119,147.5842195,133.2972114,172.8896542,172.2918851
120,147.8587222,134.3336352,175.2465446,169.5488668
121,145.8701709,136.4972417,169.4356892,173.952332
122,145.383791,140.5165656,166.2214312,170.9098066
123,145.1895921,140.4575535,166.8254573,170.0999798
124,145.3078295,135.6728496,165.1007567,171.7596429
125,129.8813728,127.9373973,178.9223878,169.7856681
126,126.3154008,124.22579,179.6704747,172.4559437
127,123.8390422,122.8113668,178.2833576,172.9260341
128,123.0515776,116.6718134,175.3553838,175.5268471
129,123.4772445,113.8070001,172.0942436,177.1971343
130,121.2541838,115.5368984,171.9396791,177.9875064
131,121.295023,116.1572589,171.5577254,174.8098335
132,122.5856754,116.7604832,172.298426,175.971012
133,123.0031007,114.021263,173.246426,177.0091899
134,123.2875277,111.0833303,173.990994,177.6576744
135,124.7998017,110.9140325,171.9138883,175.3937116
136,125.313164,114.5267899,172.2621025,173.7846008
137,125.9615324,114.7470203,171.9774356,171.3823656
138,126.8380989,116.9642297,172.2269212,170.9138309
139,127.8133984,120.960993,172.0179484,168.6710292
140,129.2389112,123.53066,171.9424921,167.6563318
141,129.5285909,123.3661644,172.4132912,167.7576338
142,133.0581964,127.7901302,172.3561133,166.9556689
143,138.030431,132.6992691,172.2789663,166.2754221
144,142.6706739,138.5505286,171.567088,165.5762868
145,149.6742353,144.9818293,170.9339938,165.2134235
146,154.2341056,148.592161,170.006657,165.7734793
147,156.3706223,157.1758864,169.4461263,164.557035
148,161.0007293,161.1594604,170.25438,163.5853377
149,163.0429745,163.0200792,171.4064025,164.6217347
150,167.4130223,163.691276,171.9344076,165.3026807
151,170.4233861,164.3736908,172.2464992,166.2523218
152,170.8001651,164.8223665,173.4792763,170.2796402
153,168.4537435,164.9557237,176.4929471,173.4617923
154,169.2257111,166.4150714,178.9614132,176.190196
155,169.3712587,165.6460946,179.9535852,177.8483132
156,166.1164482,166.9623744,172.8014943,178.7852261
157,164.3792689,166.0900128,167.73835,175.630021
158,170.5376778,167.2697115,168.5823935,174.5564408
159,166.1823371,166.3422343,162.3855099,172.9005907
160,167.3349362,164.3446037,162.4325769,168.4126694
161,169.9577233,163.7292277,164.6486183,167.870311
162,170.567145,164.2218126,164.1524955,165.1838533
163,165.7029794,172.6547222,157.1624857,168.4260335
