frame,phase,hip2ankle_right,hip2ankle_left
1,0,167.7047336,174.6480062
2,0,167.2756443,175.6554288
3,0,167.1088403,176.0000547
4,0,167.0248289,176.6271078
5,0,167.2890985,176.2901485
6,0,167.9791207,176.9644923
7,0,167.9791207,176.6271078
8,0,167.9791207,176.646722
9,0,168.315659,176.5946995
10,0,168.315659,176.6306141
11,0,168.315659,176.6306141
12,0,168.4007236,176.6306141
13,0,168.4007236,176.2956013
14,0,168.4007236,176.2418214
15,0,169.5294871,175.5689314
16,0,169.5294871,175.5551579
17,0,169.5294871,175.5012746
18,0,169.5294871,175.5012746
19,0,169.9004656,174.799592
20,0,169.9004656,174.7446852
21,0,169.9004656,174.1254162
22,0,169.2068969,174.0704627
23,0,169.1270978,173.7392876
24,0,169.1376748,173.7963349
25,0,169.0568695,173.4679246
26,0,169.5748234,173.4087915
27,0,169.5642464,173.4579619
28,0,170.0762501,173.5065553
29,0,170.5030772,173.8331348
30,0,170.4903899,173.8331348
31,0,170.5622453,173.1618788
32,0,170.5030772,172.4910981
33,0,170.5159199,172.7677012
34,0,170.8973775,173.056327
35,0,170.969233,173.3298362
36,0,172.4317246,173.6817902
37,0,172.6928448,174.0801946
38,0,173.066658,173.3566919
39,0,173.3085485,173.7154532
40,0,173.1688881,173.3242039
41,0,172.7814069,171.9052876
42,0,172.9593775,171.5106592
43,0,172.568592,170.4215771
44,0,172.6740394,169.6155922
45,0,172.8997364,169.4913779
46,0,172.2990841,170.1185939
47,0,171.6692778,170.0557057
48,0,170.9609484,169.0328041
49,0,171.2717036,168.7325693
50,0,171.4004731,169.487459
51,0,171.4528559,170.1806994
52,0,171.9439065,170.8787201
53,0,171.7475054,171.5815433
54,0,171.6410934,171.9307523
55,0,171.5347231,171.9940547
56,0,171.890593,171.9940547
57,0,171.1796204,172.0631572
58,0,171.351326,171.295562
59,0,170.3154548,170.9407309
60,0,170.0194627,169.5346616
61,0,170.4457994,169.1821664
62,0,170.1148658,168.550662
63,0,171.1754606,168.4796801
64,0,171.2358992,168.2027519
65,0,171.5746687,167.855722
66,0,171.9211551,167.855722
67,0,171.5162677,167.1580908
68,0,171.5093409,166.8909644
69,0,170.0737545,166.209435
70,0,168.2273238,165.440073
71,0,167.7319501,165.4358389
72,0,167.0179454,165.3466768
73,0,166.3465318,164.9241451
74,0,166.2937363,164.5758229
75,0,166.3504562,163.8898852
76,0,166.3017889,163.200892
77,0,165.9888724,162.1662611
78,1,165.5907978,162.1662611
79,1,165.1619477,161.3815204
80,1,164.8031627,160.1112582
81,1,164.872945,159.8449176
82,1,164.8976018,159.1061053
83,1,164.5834025,158.8652342
84,1,164.6102766,158.5320859
85,1,164.6368189,158.2155833
86,1,165.0259343,157.5427798
87,1,166.4584002,156.8241041
88,1,167.6930222,154.4919062
89,1,167.4082543,153.5433266
90,1,167.1274356,153.4647499
91,1,167.1274356,152.8081408
92,1,167.1441245,150.5210909
93,1,166.4513376,149.6186867
94,1,166.3719318,149.9978048
95,1,166.4341377,149.2772889
96,1,165.387449,148.9524778
97,1,165.0967692,148.6345244
98,1,164.7430282,148.0685468
99,1,164.3896396,147.1047769
100,1,164.1938724,146.59956
101,1,163.8929514,146.9821041
102,1,163.0147116,147.2267799
103,1,163.0147116,147.2095763
104,1,163.0439241,147.1322709
105,1,163.0988729,148.3664166
106,1,162.4216332,148.8062731
107,1,162.1038266,148.491198
108,1,162.7803515,148.491198
109,1,162.037401,147.7867014
110,1,161.959282,148.1017895
111,1,161.2778074,148.0498911
112,1,161.470878,147.5747043
113,1,160.1019723,146.9441772
114,1,159.7392696,146.315727
115,1,159.2620609,146.3290025
116,1,157.8107197,145.6306433
117,1,159.8280284,145.0467242
118,1,159.3818119,144.7733184
119,1,158.9369482,144.9512123
120,1,158.4635093,143.1301024
121,1,157.7131577,143.3008791
122,1,157.6480244,143.4762962
123,1,157.2624683,144.3297372
124,1,155.7858481,144.3297372
125,1,155.0969186,144.3251671
126,1,155.0277169,144.5378035
127,1,153.8309418,143.7429413
128,1,153.8309418,144.0901572
129,1,153.4111919,144.110061
130,1,154.3658471,143.4948842
131,1,153.8737482,132.418829
132,1,153.8737482,133.78905
133,1,154.2197734,137.6611079
134,1,154.009386,138.9296243
135,1,153.6633607,140.1555843
136,1,153.5670229,140.7088191
137,1,153.0552043,141.2431258
138,1,151.9316835,140.9920106
139,1,151.2414622,141.3976975
140,1,151.1564935,140.6264431
