frame,hip2ankle_right,hip2ankle_left
1,159.002538,174.9244316
2,158.9633734,175.7065532
3,157.9935261,176.9812919
4,157.9896817,178.2519919
5,157.3298458,179.048119
6,157.3298458,179.436549
7,157.3298458,179.436549
8,157.3298458,179.1807847
9,158.0396181,178.7900421
10,158.0866274,178.7900421
11,157.6896532,178.7900421
12,157.3351957,179.1368022
13,156.9813165,179.7832719
14,157.3726397,179.7832719
15,156.9320895,179.8259855
16,156.8958725,179.4271394
17,156.5933423,179.3774717
18,158.2473632,179.7195389
19,158.5662253,179.5991892
20,159.2382859,179.801654
21,159.1601718,179.8038368
22,159.4490095,179.6853084
23,159.6975075,179.7810397
24,159.6202174,180
25,159.3013895,179.9599666
26,159.3013895,179.844247
27,159.3473118,179.7172841
28,158.6710148,179.8330038
29,157.7276394,179.9349799
30,157.3255322,179.8395225
31,157.0023992,177.7624563
32,156.330953,177.4030512
33,156.330953,177.1769392
34,155.0786754,177.5377931
35,155.1634407,177.1924349
36,154.5002416,177.1924349
37,154.2179532,177.5589274
38,153.8739883,177.1866624
39,153.9059704,177.066073
40,154.1587015,176.0425463
41,154.1587015,176.0806047
42,153.2055586,175.4955217
43,154.6177179,175.7096415
44,155.3795946,176.5579471
45,155.7265779,179.3664745
46,155.7265779,178.9991008
47,155.5038474,179.9783053
48,155.1879302,179.7993815
49,155.9799528,179.9594223
50,157.6570217,177.7609676
51,158.2662582,177.0021841
52,157.6003081,177.1551401
53,158.3002264,176.4955119
54,157.9899786,176.1166287
55,158.7759492,175.4854372
56,158.8649266,175.3873841
57,158.8976927,172.5761913
58,158.6459224,174.1126043
59,159.3863045,173.6540284
60,159.4380507,174.021885
61,159.4708169,173.8439483
62,159.4708169,173.8867658
63,159.7837255,173.8867658
64,158.4796933,169.6432106
65,157.3002034,167.0819146
66,155.4647414,166.8131949
67,154.1827809,165.7181553
68,153.5441475,165.0370288
69,152.9071237,164.6674779
70,152.9071237,164.6674779
71,152.2160736,165.7320908
72,149.0272854,167.1013405
73,148.0401462,165.1024368
74,148.3283933,164.1919683
75,148.6574993,164.5013771
76,149.7299279,163.3919228
77,149.6239835,164.2241903
78,150.6520899,165.4395731
79,150.1867508,166.613698
80,150.2916239,163.9403587
81,150.6268958,163.3639448
82,150.1073938,162.8572855
83,150.4426656,162.1538314
84,150.1556673,160.9077812
85,149.4268912,159.8611431
86,149.5323494,158.6340878
87,149.4781045,159.3174694
88,149.8607288,158.6165991
89,150.0537048,157.718054
90,150.2822409,157.0154702
91,150.8317244,155.6286639
92,150.8317244,154.4273814
93,151.9283699,154.0652286
94,150.687223,154.4010418
95,150.4287505,153.3411751
96,150.1882885,153.8315791
97,150.8490099,153.1339412
98,151.2372816,152.8199359
99,150.6215001,152.2829298
100,150.8619935,151.9349926
101,151.2944565,151.928584
102,151.1917909,151.6126124
103,151.8232695,151.239993
104,152.0526464,150.5535549
105,152.3676283,150.2069013
106,152.0841698,150.2069013
107,150.7522928,149.6444676
108,150.0322565,148.8053633
109,148.4881942,150.5331555
110,147.5465128,150.4651463
111,148.1189903,150.7950171
112,151.0634637,153.4806919
113,147.0275788,153.9242959
114,144.965983,153.9745473
115,148.6843138,153.0341807
116,149.9094745,152.1858312
117,150.4119212,150.5831281
118,150.459832,150.6846671
119,149.0482452,149.1563602
120,148.522695,147.9904388
121,148.4160148,147.4596934
122,145.2172412,148.191443
123,146.1083296,148.1459378
124,146.1434158,146.6463208
125,145.1523665,146.0058203
126,143.9324096,150.6894554
127,142.9760818,153.0371769
128,142.9035847,148.922188
129,142.5931071,147.7523898
130,143.4277212,144.7937325
131,143.5990265,142.2349996
132,144.3225009,139.6366623
133,144.3462405,139.566014
134,139.7727599,145.440433
135,125.0874384,135.8463793
136,125.4079806,139.832756
137,128.0096513,140.5046909
138,128.0800081,140.6558531
139,126.2599856,142.7182262
140,125.1885354,141.1526785
141,124.794772,141.0060588
142,120.9883154,141.3299984
143,122.3259963,142.4429795
144,116.7833576,142.3547893
145,111.5815828,141.9527505
146,121.9836473,143.2172726
147,125.779763,144.2683432
148,120.7963588,142.5435313
149,124.4980854,144.0402232
150,126.2226053,145.4008296
151,128.5428625,146.0319036
152,127.0000165,145.5822446
153,124.2894953,143.9253327
154,122.9646211,140.7043373
155,124.5956386,139.5872092
156,123.8956012,138.2352955
157,129.9256051,142.4424412
158,121.7726567,134.9538628
159,126.5799151,135.1596868
160,124.1279615,133.5914003
161,121.76778,129.7573694
162,125.221157,129.1275643
163,126.8801544,126.037289
164,124.5247429,123.1363102
165,126.063452,126.4540054
166,126.9177367,129.380126
167,126.8179011,131.2720251
168,125.9062828,130.4404386
169,124.493214,127.9936247
170,125.367913,125.4413947
171,125.0825028,120.991979
172,124.9507571,122.8502933
173,125.4084479,120.3869303
174,125.3221528,119.7689282
175,124.0135631,117.143207
176,123.7036631,116.356956
177,123.6197066,114.2978406
178,122.9577604,114.4683747
179,121.5237367,111.1708634
180,120.4616411,108.5960856
181,116.3555533,102.2296628
182,115.3483266,102.5903216
183,115.1549783,106.0500423
184,114.837232,104.2973621
185,114.5364561,103.2877925
186,109.8853412,100.6762385
187,110.6930398,107.1899193
188,111.7055188,109.0308715
189,111.7447948,104.6298312
190,106.9852374,105.5928109
191,102.0063189,106.7685608
192,103.9366408,107.5057407
193,105.3717267,107.8630618
194,106.0945375,97.15258559
195,110.6698208,95.09256238
196,111.3056636,94.21180303
197,114.2402516,95.80911194
198,114.5846877,103.0053551
199,115.5022655,106.3862892
200,118.1894741,106.2449853
201,120.094551,107.1480812
202,120.5653914,104.3332814
203,120.2301208,103.572748
204,119.7304017,100.7346781
205,119.4888293,95.85902045
206,120.1782172,99.50189601
207,120.704871,100.0716049
208,121.0663927,101.5341634
209,121.4277592,102.1027645
210,121.5564791,102.7411563
211,121.7515658,103.7805697
212,120.5527375,103.554268
213,120.3698601,103.3299956
214,118.1772551,106.9562015
215,117.3455375,107.4469613
216,118.5756846,108.4336307
217,118.8673922,109.0214388
218,119.1817986,109.661339
219,120.9974246,115.1080758
220,120.9162782,113.5152143
221,120.9980073,115.4996298
222,120.6341784,114.8573977
223,121.3056914,114.343271
224,122.5724196,116.212283
225,122.8074094,116.8180404
226,121.1659722,118.5787936
227,121.3759493,120.5047071
228,122.4263305,125.710248
229,123.3961682,122.2959052
230,124.375649,124.453966
231,123.6315228,124.4170799
232,125.9452149,127.7576849
233,130.193757,137.2160802
234,130.8331781,139.0950497
235,132.0244042,136.6024337
236,134.7275857,143.0989866
237,134.124614,143.4295679
238,136.5714055,146.3247272
239,138.5558174,147.5782705
240,138.5097722,148.5943653
241,140.0513715,152.1560021
242,142.8483221,154.9937702
243,146.0510165,156.4972143
244,149.2041787,157.8530894
245,151.4626625,159.4300304
246,153.7537601,161.4608771
247,154.6935029,161.6988727
248,156.5042377,162.4839062
249,159.3831866,166.3156629
250,159.8836016,166.7146373
251,162.2777321,166.9601434
252,161.3107279,167.6438737
253,160.8219569,167.9501728
254,161.9674843,167.7222115
255,163.6960406,168.9546827
256,166.0456189,169.8999406
257,170.0450984,171.5520103
258,172.8817682,174.1203795
259,173.568848,174.5347108
260,175.5274074,174.9391047
261,176.9007274,177.3105404
262,176.9107388,178.3150623
263,177.245569,179.3227218
264,177.9274143,179.3183403
265,178.9442772,179.9894112
266,178.2288795,179.2988216
267,178.2223828,179.1021447
268,177.2241232,178.0430878
269,176.4236656,174.9614759
270,175.9583614,178.9464402
271,169.4317958,177.0244144
272,170.6837576,174.4733708
273,170.8515463,173.4371793
274,178.7811248,173.9211944
275,177.4130945,172.2050018
276,179.8011607,169.2564269
277,178.9136714,168.6244376
278,174.6745698,168.4687195
279,176.7533819,168.5405687
280,177.35446,168.1919015
281,177.1962573,166.5565232
282,176.805942,165.8743794
283,177.8009162,164.0289288
284,178.8297996,162.8463099
