frame,phase,elbow2hip_left,elbow2hip_right
1,0,27.20350845,20.86104079
2,0,27.28563751,21.42028173
3,0,27.44038692,21.78861072
4,0,27.46237071,22.37880317
5,0,27.44464692,22.815249
6,0,27.46197873,23.30983173
7,0,27.43827304,23.57532652
8,0,27.43008372,23.72367948
9,0,27.44258252,24.09458749
10,0,27.42089401,24.45691634
11,0,27.3820586,24.63487687
12,0,27.43053512,24.83520228
13,0,27.43163687,24.95944923
14,0,27.45299065,25.14421399
15,0,27.48794242,25.46899757
16,0,27.49835989,25.6099506
17,0,27.47538681,25.7952587
18,0,27.62795482,25.89598181
19,0,27.81224038,26.1988021
20,0,27.91977415,26.3798557
21,0,27.98575169,26.46076721
22,0,27.96726956,26.75767905
23,0,27.84888402,27.0742036
24,0,27.95299712,27.29299198
25,0,28.13498938,27.38963793
26,0,28.47230159,27.56191736
27,0,29.05743085,27.74212929
28,0,29.96930344,28.11863211
29,0,30.74532322,28.60615466
30,0,31.55636643,29.05660801
31,0,32.44803963,29.65312636
32,0,33.46164023,30.24894412
33,0,34.62958466,31.12096988
34,0,35.23773872,31.30254048
35,0,36.17684223,31.65217242
36,0,37.05284686,32.03969177
37,0,38.19269218,32.42982917
38,0,39.33936639,32.85694003
39,0,40.36675022,33.20520434
40,0,42.62230736,33.51314163
41,0,44.79303684,34.07192644
42,0,47.07817706,34.52027081
43,1,49.20315784,34.96458596
44,1,51.03185892,35.39627067
45,1,52.67657038,35.73369257
46,1,54.26415832,36.17156022
47,1,56.87254418,36.92640021
48,1,59.5186919,37.83560288
49,1,61.12627297,38.52207135
50,1,63.0418293,39.3326731
51,1,64.93740757,40.56368808
52,1,66.94479922,41.72436791
53,1,69.21855989,42.51086152
54,1,71.34699339,43.04534883
55,1,73.19733144,43.8147711
56,1,77.72415139,44.425831
57,1,82.63572603,45.09922357
58,1,84.18641541,45.5956978
59,1,87.61785895,46.3883368
60,1,92.40933633,46.79932621
61,1,93.40307829,47.04990707
62,1,96.34438099,48.14286421
63,1,99.27525185,48.50541239
64,1,101.9568349,49.15295751
65,1,103.863276,49.91118421
66,1,107.1192373,50.96664404
67,1,109.8015146,52.13767896
68,1,110.9449076,52.69286196
69,1,112.5892241,53.0285092
70,1,115.060991,53.22309912
71,1,116.2219437,53.40601454
72,1,119.7173167,53.68095249
73,1,122.6333708,54.02838353
74,1,124.0124566,54.72633283
75,1,124.5127389,55.38766197
76,1,125.250085,56.36054921
77,1,128.0440074,56.92690661
78,1,129.9772915,57.45005772
79,1,131.7744072,58.25744053
80,1,133.6518843,58.95634774
81,1,134.9342247,60.06763889
82,1,136.5582677,61.00023662
83,1,137.8065015,61.26236388
84,1,139.2330137,62.50770416
85,1,140.5818663,63.45600342
86,1,141.9743431,64.35209223
87,1,142.4980302,64.37770645
88,1,142.8768036,64.00312448
89,1,143.4006548,63.10487827
90,1,144.0762112,62.17934809
91,1,145.0682987,61.61390987
92,1,145.8089239,61.08152654
93,1,146.9297641,59.71180879
94,1,147.8463228,59.5347595
95,1,148.249767,58.89129432
96,1,148.6519795,59.1444524
97,1,148.932843,59.13254189
98,1,149.5484584,58.47334729
99,1,150.5639002,58.14996973
100,1,151.8797046,58.33100001
101,1,152.8261845,58.24770706
102,1,153.5644067,59.26943755
103,1,154.229593,59.40320414
104,1,155.0695924,59.18374237
105,1,155.8221889,58.99538661
106,1,157.2249048,59.90762367
107,1,158.500006,59.9755179
108,1,159.5613488,59.14950836
109,1,160.0449264,56.81055545
110,1,160.3371514,54.76029823
111,1,160.4184453,54.5738967
112,1,160.7960105,53.82032605
113,1,161.3866171,54.12606133
114,1,162.0552341,54.10794262
115,1,162.8561392,54.29209283
116,1,163.3318994,54.75656013
117,1,163.8240048,54.24126575
118,1,164.4514469,54.31651157
119,1,165.0641602,54.02348277
120,1,165.4298612,53.44316684
121,1,166.0491274,52.25656152
122,1,166.4060614,51.0329998
123,1,167.2167996,50.52405917
124,1,167.606159,50.36145453
125,1,168.6019506,49.9810855
126,1,169.9120247,49.25169754
127,1,171.1784488,49.2458527
128,1,171.2751362,49.29655157
129,1,171.5091618,48.24588501
130,1,171.7434357,47.71620571
131,1,171.9377546,47.60289997
132,1,171.8434932,47.6192297
133,1,171.8804823,47.43390721
134,1,172.2061775,46.16692287
135,1,173.070267,46.05353887
136,1,173.6959202,45.65698526
137,1,174.0722093,45.84994794
138,1,174.8430751,46.78400334
139,1,175.1156774,46.94707436
140,1,175.3952405,47.60995549
141,1,175.7038588,48.3371796
142,1,175.9748452,47.81030222
143,1,176.1285388,46.67137164
144,1,176.367525,46.39030436
145,1,176.9323005,45.31945677
146,1,177.0597199,44.38235024
147,1,177.7106267,43.56882311
148,1,177.6965098,43.16637328
149,1,177.7894088,42.38334104
150,1,177.5232509,41.6930235
151,1,176.9509997,41.17250212
152,1,176.7070637,41.2499395
153,1,176.495349,40.77115019
154,1,176.3402126,41.16722923
155,1,175.9762541,41.3819633
156,1,176.6133752,41.23726141
157,1,176.4079027,40.53064903
158,1,176.3339088,40.66391413
