frame,hip2ankle_right,hip2ankle_left
1,176.9372718,179.2714953
2,176.8880455,179.4828665
3,176.880998,179.4019155
4,177.8823862,179.2444028
5,177.82175,179.3467613
6,177.82175,179.6890791
7,177.7806187,178.9935368
8,177.7525463,178.9935368
9,177.7525463,178.1864915
10,177.7239604,178.1864915
11,178.651263,177.8866436
12,178.651263,177.4647861
13,178.651263,176.5716149
14,178.651263,176.5716149
15,178.7469551,175.6785573
16,178.3129542,175.2608164
17,177.444853,174.8445231
18,177.9893993,174.8445231
19,178.4518423,173.8866418
20,178.4518423,174.3579243
21,178.4518423,174.3579243
22,178.4656585,174.287305
23,178.9860213,173.8740145
24,178.9860213,173.804537
25,179.4356421,173.3407224
26,179.4356421,172.4641132
27,179.4443802,173.0450106
28,179.4443802,172.3526331
29,179.8918876,171.2616727
30,179.9074133,171.0975076
31,179.6555405,170.710699
32,179.6366956,169.4883916
33,179.6366956,168.9496275
34,179.6366956,166.9060551
35,179.1429218,166.5722334
36,178.6956352,167.1641415
37,178.6915552,167.1641415
38,179.6306438,167.1641415
39,179.4510482,166.9993356
40,178.561333,166.9993356
41,177.6531257,166.5722334
42,176.7555307,166.1471569
43,175.865994,167.2524545
44,176.348244,167.9291527
45,175.4325031,169.4622794
46,174.9673089,169.9274124
47,174.54194,169.9274124
48,174.5470986,169.5373076
49,173.6357613,169.5554483
50,174.5606923,169.7488012
51,174.0290016,171.1796204
52,173.9995512,171.7374199
53,173.5208996,172.1300817
54,173.9524629,170.5642451
55,173.921698,169.9781022
56,174.8396422,169.7097507
57,176.1392674,168.5391037
58,177.0643266,168.1223786
59,177.5048729,167.27233
60,178.9177999,166.8636078
61,179.8876869,166.8636078
62,179.394503,166.8636078
63,179.9205385,166.8636078
64,179.4360365,166.0111595
65,179.0084037,165.4461197
66,176.7841255,164.5778387
67,174.905256,164.2773805
68,173.966747,165.120187
69,174.2791226,165.1006455
70,175.1511203,164.5403849
71,174.5007759,164.6516408
72,175.1862475,164.6441071
73,175.6617332,165.189289
74,175.6101695,164.0271442
75,174.6244213,163.7059525
76,174.2343879,162.7050121
77,174.0863598,161.0811002
78,174.1140122,161.973477
79,174.1140122,161.6578795
80,174.1140122,162.0611061
81,173.6257077,161.5036699
82,173.6257077,161.9111191
83,172.6927695,162.3443401
84,173.6160789,162.7665921
85,173.1307495,162.3201224
86,172.7756843,162.2372218
87,171.8447674,162.213004
88,171.4997321,162.9876672
89,171.0285736,163.40531
90,170.102426,163.40531
91,170.4491887,162.5446409
92,169.3803447,162.101986
93,168.6381429,162.101986
94,168.3368286,161.5523315
95,168.1602141,162.4423032
96,168.6024453,162.9387874
97,168.556722,163.8751383
98,169.1984852,163.4290488
99,168.7476433,164.2687239
100,167.8099229,163.7915041
101,169.2405209,163.7915041
102,168.7502771,163.2514776
103,169.250146,162.6715502
104,169.8519501,163.0083425
105,169.4226533,162.4649109
106,170.8782523,162.8096844
107,170.2711436,163.2034882
108,170.5139514,162.7566711
109,170.3592124,162.668389
110,169.6409475,161.2740968
111,169.4768043,160.827037
112,168.1812226,159.8441482
113,166.8596669,159.4207419
114,166.4273713,158.8827451
115,165.9099577,158.7305943
116,165.4564068,158.1041211
117,164.724728,156.6594714
118,164.5109808,156.2961085
119,164.7377821,155.73967
120,164.9596351,155.6228337
121,163.9021804,156.0513206
122,163.4232209,155.5610403
123,163.1802377,155.1105833
124,163.6382013,153.9863109
125,162.6670884,153.901483
126,163.8000921,153.7666539
127,164.0833316,154.6043735
128,164.5274214,154.8581537
129,165.2084025,154.330261
130,165.4122822,153.4049612
131,164.6410847,153.4049612
132,165.16271,154.1846872
133,165.2468635,153.0832819
134,163.5228763,151.4608797
135,162.8343469,151.7518604
136,162.9947082,151.7116435
137,162.7151002,152.7521893
138,162.4303569,152.1497585
139,162.774243,152.1497585
140,161.2267232,152.5760948
141,159.4766081,152.3969871
142,157.6183008,152.5390385
143,156.6711123,152.4843843
144,155.3750488,152.8743196
145,154.978124,153.183567
146,153.2157058,152.9375536
147,153.7227529,152.570142
148,152.2899754,153.0481561
149,149.3670557,150.5775707
150,150.2439499,149.3893972
151,147.6698619,148.3971043
152,147.2472332,147.6615055
153,146.0026865,146.9539415
154,145.2737741,146.6994397
155,145.775886,146.6620444
156,146.6742287,145.9046836
157,146.2459506,146.1029641
158,145.4258085,146.1439616
159,146.3604089,147.0620964
160,145.5533994,147.0973218
161,145.1471332,146.6276045
162,146.3987631,144.5276989
163,146.8420761,143.3698961
164,145.9522256,143.6856258
165,145.9892598,144.6163997
166,145.6704165,145.7184008
167,147.2064537,146.1756653
168,145.6236731,147.7899031
169,146.6055229,148.6713071
170,144.4561321,148.6713071
171,144.4887792,149.5652805
172,145.7494217,149.5652805
173,145.6756071,150.9008065
174,145.2976937,149.9831949
175,145.1975445,149.5201886
176,144.0252761,148.6297234
177,144.0252761,146.5692686
178,144.0945751,147.4488276
179,143.2292959,148.6280099
180,142.4370624,149.3862695
181,142.0002279,149.3862695
182,142.4958576,149.6649766
183,142.0559532,150.2301558
184,141.2703094,150.0868143
185,141.8026887,150.522351
186,142.145691,150.0996775
187,142.9944904,148.8580075
188,143.4254306,149.296866
189,144.2891074,149.8305962
190,145.5719982,149.8305962
191,145.9404547,151.024863
192,146.738745,151.8800951
193,147.8867153,152.4176637
194,148.5513383,152.9346831
195,148.1399942,152.086738
196,148.0352859,153.3625012
197,148.7173463,154.1380561
198,149.161079,154.0660927
199,148.9317283,154.4111457
200,149.3674293,154.8453749
201,149.9066439,154.8453749
202,151.4315587,155.2622396
203,151.2195194,155.2086766
204,150.884895,154.7786355
205,151.5207488,155.4319586
206,151.1899832,155.4319586
207,150.9783458,156.1175614
