frame,hip2ankle_right,hip2ankle_left,shoulder2knee_right,shoulder2knee_left
1,173.6287819,172.942465,173.7078129,154.7498196
2,173.9161032,174.5943592,174.5851595,154.2287073
3,173.113665,175.4769582,175.1052711,154.4942465
4,173.0764658,175.8109882,175.1097188,154.7882237
5,172.6555004,176.3615607,175.1184506,154.9472457
6,172.6597865,176.4204172,174.8625892,154.996585
7,172.7045673,176.035797,174.8625892,154.6708213
8,172.7487509,175.9776247,174.8625892,154.621482
9,172.7923492,175.9201247,174.8625892,154.621482
10,172.8778352,176.0000187,174.8423101,154.7013761
11,172.915459,175.9431797,174.8583032,154.7013761
12,172.915459,175.2360376,174.5983391,154.378243
13,172.915459,175.0475587,174.3385687,154.3459699
14,172.9568278,175.0475587,174.3385687,154.5886249
15,172.9568278,174.7227476,174.0790025,154.831688
16,172.9889341,174.2658643,174.0702707,154.9462566
17,173.0292515,174.710706,174.0702707,156.1752446
18,172.4561211,174.8950216,172.5362138,157.6023591
19,172.0926513,175.7249265,171.2669979,159.9086522
20,172.1635646,176.110286,171.0065588,160.7782017
21,171.7786725,176.3431472,169.4894856,162.0777302
22,171.7391948,175.751435,168.5726043,162.1396543
23,172.0817822,174.1627792,168.3473818,161.1615664
24,171.6871335,174.4870303,167.7630701,161.9808138
25,171.2924252,172.5238718,166.8865161,161.5953229
26,171.2570008,172.4119813,166.2797198,161.5324412
27,170.8807849,172.6371774,165.2996727,162.2752261
28,169.7571452,169.1236264,163.9845604,161.6806038
29,169.324918,167.3321074,163.3197815,161.1276205
30,167.3067958,165.4067318,161.4648157,160.7843615
31,166.3797781,164.7403261,160.5812833,160.7646258
32,166.2574084,164.902764,160.3729438,160.949405
33,166.2574084,169.9221809,160.3241814,163.4558406
34,166.2574084,171.9190625,160.0795382,164.6622834
35,166.6315232,172.8247389,160.5994196,164.65514
36,167.3280004,173.8642872,160.6617624,165.3244528
37,168.8389892,174.6042157,161.4401837,165.660226
38,170.0126094,173.8089037,162.517845,164.6876378
39,171.2658507,173.6805977,164.4617357,163.7810718
40,173.2797744,173.5481877,166.6532878,162.9443108
41,173.619123,173.747259,167.4192588,162.8926831
42,177.0599741,173.8911542,169.0561275,163.3068833
43,179.3240039,174.0656468,170.1703619,163.6953157
44,178.894249,174.3072568,170.1499901,163.8508899
45,179.2322553,173.4576385,170.1259848,163.6577898
46,178.4931914,173.6507386,169.7610781,163.8870387
47,178.8913724,173.3421132,169.6703017,163.936494
48,178.1523897,172.9147141,169.2522739,163.5740369
49,176.6652839,172.5187324,168.2970156,163.5740369
50,176.5933796,172.6143986,167.929927,163.6433135
51,176.0459376,172.5718276,167.5285232,163.609342
52,174.8789591,172.339877,167.4041383,163.1271179
53,174.922092,172.2417681,167.2330665,163.0560362
54,173.8006674,172.3128497,166.8366584,163.1271179
55,172.6779197,172.2150625,166.0519038,163.0560362
56,171.4986909,171.8019821,165.0500021,163.2248251
57,171.4925333,171.532715,164.9323792,163.0385238
