frame,hip2ankle_right,hip2ankle_left
1,171.7292208,177.5477474
2,173.7028596,178.0066212
3,174.0646676,177.5780146
4,174.9476509,178.0066212
5,174.9476509,177.1087659
6,175.3883002,176.6393281
7,175.4687233,177.1407354
8,175.9290274,177.0973182
9,175.0280741,177.0973182
10,175.107217,176.65793
11,175.2617817,176.65793
12,175.3372607,175.768461
13,175.7779099,175.8067305
14,175.7779099,175.8067305
15,176.2952232,175.8067305
16,176.2952232,176.2311828
17,176.7352429,176.2311828
18,176.2952232,175.8067305
19,176.7352429,175.8067305
20,177.223985,176.268603
21,177.156415,176.6930553
22,177.156415,176.6930553
23,178.047651,178.0411695
24,178.0638026,178.0599218
25,177.1793327,178.0411695
26,176.8739062,178.0227167
27,175.6277837,177.9725869
28,176.0684329,178.4801949
29,175.1214715,178.8475944
30,175.677565,178.7961354
31,175.677565,177.8737444
32,176.1663058,177.8737444
33,176.1663058,178.7659992
34,176.6124107,179.2316721
35,176.2087938,179.2534493
36,176.2087938,179.8534816
37,176.2087938,179.8534816
38,176.0846065,179.8534816
39,176.0846065,178.9604659
40,176.0846065,177.6500878
41,176.9036846,177.6500878
42,176.8295197,177.2163359
43,176.8295197,177.2163359
44,176.8295197,177.1739772
45,177.2640768,176.7498617
46,177.1887777,176.3158609
47,177.1887777,177.2061159
48,178.0611015,177.2061159
49,178.500791,177.2351007
50,178.6266875,177.2351007
51,179.0641557,177.2351007
52,179.8784105,176.3484339
53,179.0117729,176.7824347
54,179.0117729,177.2351007
55,178.6384728,177.228575
56,178.5886649,178.6083917
57,178.6489974,178.5987519
58,178.6489974,178.5987519
59,178.2169206,178.5987519
60,178.3229149,179.6369478
61,176.9187359,178.7596034
62,177.3521599,179.2352823
63,177.9557643,179.8579857
64,178.0030436,179.8363502
65,177.6262662,179.8337115
66,177.7388405,179.3505605
67,177.2024315,179.6108179
68,177.3675651,179.6869114
69,177.4178687,179.0518115
70,177.4178687,179.5177657
71,177.4178687,178.5325
72,177.4689735,177.7030732
73,177.4021173,177.1135437
74,176.5574761,174.036976
75,175.8042447,172.4744515
76,175.3875897,170.3011719
77,174.6369306,170.8558296
78,174.3076481,169.7502759
79,174.3076481,168.9114332
80,174.3076481,169.4334401
81,174.3076481,169.1967847
82,174.1420538,170.2632466
83,174.3917828,171.2944287
